roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,url,product_id,has_reviews,price_numeric,size_oz,price_per_oz
Victrola,Streamline Espresso Blend,Unspecified,Medium Roast,12oz,$13.46,17,26,65.4,False,True,False,False,"Medium Roast, Blend, Espresso",/products/streamline-espresso-blend,623dff4b94520f003cddb034,True,13.46,12,1.12
Camber Coffee,Goodnight Moon Decaf,Unspecified,Medium Roast,12oz,$17.10,16,27,59.3,True,False,True,True,"Medium Roast, Rotating, Decaf, Direct Trade, Available Ground, Single Origin",/products/goodnight-moon-decaf,5e13a054476ef30004a41e10,True,17.1,12,1.43
Camber Coffee,Goodnight Moon Decaf,Unspecified,Medium Roast,32oz,$31.50,16,27,59.3,True,False,True,True,"Medium Roast, Rotating, Decaf, Direct Trade, Available Ground, Single Origin",/products/goodnight-moon-decaf,5e13a054476ef30004a41e10,True,31.5,32,0.98
Camber Coffee,Goodnight Moon Decaf,Unspecified,Medium Roast,80oz,$76.50,16,27,59.3,True,False,True,True,"Medium Roast, Rotating, Decaf, Direct Trade, Available Ground, Single Origin",/products/goodnight-moon-decaf,5e13a054476ef30004a41e10,True,76.5,80,0.96
Tonys Coffee,Mexico Chiapas,Mexico,Medium Roast,12oz,$16.20,15,23,65.2,False,False,True,True,"Medium Roast, Mexico, Fair Trade, Organic, Available Ground, Kosher, Single Origin",/products/mexico-chiapas-2,60bab0b58a92ab0004e279b3,True,16.2,12,1.35
Tonys Coffee,Mexico Chiapas,Mexico,Medium Roast,80oz,$74.70,15,23,65.2,False,False,True,True,"Medium Roast, Mexico, Fair Trade, Organic, Available Ground, Kosher, Single Origin",/products/mexico-chiapas-2,60bab0b58a92ab0004e279b3,True,74.7,80,0.93
Victrola,Empire Blend,Unspecified,Medium Roast,12oz,$13.46,15,24,62.5,False,True,False,False,"Medium Roast, Blend",/products/empire-blend,623e019f94520f003cddb231,True,13.46,12,1.12
Kuma Coffee Roasters,Bright Blend,Unspecified,Light-Medium Roast,12oz,$20.86,15,19,78.9,False,True,False,False,"Light-Medium Roast, Blend",/products/bright-blend,625e4927abf21300353c7107,True,20.86,12,1.74
Seven Coffee Roasters,Pano Hawaiian Blend,Unspecified,Dark Roast,12oz,$17.98,14,20,70.0,False,True,False,True,"Dark  Roast, Blend, Available Ground",/products/copy-of-pano-hawaiian-blend,620c3ed4f9fd8b0004bff2ca,True,17.98,12,1.5
Kuma Coffee Roasters,Sun Bear,Unspecified,Light-Medium Roast,12oz,$20.86,14,20,70.0,False,True,False,False,"Light-Medium Roast, Blend",/products/sun-bear,625e4927abf21300353c7113,True,20.86,12,1.74
Caffe Vita,Organic Sumatra Gayo River,Unspecified,Medium-Dark Roast,12oz,$16.20,13,29,44.8,False,False,True,True,"Medium-Dark Roast, Sumatra, Organic, Available Ground, Single Origin",/products/organic-sumatra-gayo-river,588ff273e4fcc61100cb9879,True,16.2,12,1.35
Caffe Vita,Organic Sumatra Gayo River,Unspecified,Medium-Dark Roast,80oz,$85.50,13,29,44.8,False,False,True,True,"Medium-Dark Roast, Sumatra, Organic, Available Ground, Single Origin",/products/organic-sumatra-gayo-river,588ff273e4fcc61100cb9879,True,85.5,80,1.07
