product_key,search_name,cafe_name,cafe_address,cafe_city,zip_code,longitude,latitude
Seven Coffee Roasters | Guatemala Trapichitos,'SEVEN COFFEE ROASTERS MARKET & CAFE',SEVEN COFFEE ROASTERS MARKET & CAFE,2007 NE RAVENNA BL,Seattle,98105,-122.3060754504,47.6690894585
Caffe Vita | Caffe Del Sol,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE,98103,-122.3503072524,47.6591054340
Caffe Vita | Caffe Del Sol,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE,98103,-122.3503072524,47.6591054340
Tony's Coffee | Upland,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Caffe Vita | Bistro Blend,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE,98103,-122.3503072524,47.6591054340
Caffe Vita | Bistro Blend,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE,98103,-122.3503072524,47.6591054340
Seven Coffee Roasters | Mexico Santa Fe,'SEVEN COFFEE ROASTERS MARKET & CAFE',SEVEN COFFEE ROASTERS MARKET & CAFE,2007 NE RAVENNA BL,Seattle,98105,-122.3060754504,47.6690894585
Olympia Coffee Roasting Co. | Sweetheart Single Origin Espresso Rotation,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co. | Sweetheart Single Origin Espresso Rotation,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co. | Sweetheart Single Origin Espresso Rotation,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Stamp Act Coffee | Old School - Seasonal Espresso,'LITTLE JAYE',LITTLE JAYE,309 S CLOVERDALE ST #A4,SEATTLE,98108,-122.3325207500,47.5246903700
Stamp Act Coffee | Old School - Seasonal Espresso,'LITTLE JAYE',LITTLE JAYE,309 S CLOVERDALE ST #A4,SEATTLE,98108,-122.3325207500,47.5246903700
Stamp Act Coffee | Old School - Seasonal Espresso,'LITTLE JAYE',LITTLE JAYE,309 S CLOVERDALE ST #A4,SEATTLE,98108,-122.3325207500,47.5246903700
Tony's Coffee | Songbird Blend,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Tony's Coffee | Songbird Blend,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Tony's Coffee | Songbird Blend,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Tony's Coffee | Sugar Bee Espresso,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Caffe Vita | Queen City,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE,98103,-122.3503072524,47.6591054340
Caffe Vita | Queen City,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE,98103,-122.3503072524,47.6591054340
Seven Coffee Roasters | Espresso Huli,'SEVEN COFFEE ROASTERS MARKET & CAFE',SEVEN COFFEE ROASTERS MARKET & CAFE,2007 NE RAVENNA BL,Seattle,98105,-122.3060754504,47.6690894585
Seven Coffee Roasters | Ethiopia Yirgachefe,'SEVEN COFFEE ROASTERS MARKET & CAFE',SEVEN COFFEE ROASTERS MARKET & CAFE,2007 NE RAVENNA BL,Seattle,98105,-122.3060754504,47.6690894585
Seven Coffee Roasters | Brazil Carmo De Minas,'SEVEN COFFEE ROASTERS MARKET & CAFE',SEVEN COFFEE ROASTERS MARKET & CAFE,2007 NE RAVENNA BL,Seattle,98105,-122.3060754504,47.6690894585
Blossom Coffee Roasters | Espresso Velluto Organic,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | Espresso Velluto Organic,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | Espresso Velluto Organic,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | First Light Breakfast Blend,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | First Light Breakfast Blend,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | First Light Breakfast Blend,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Olympia Coffee Roasting Co. | Morning Sun,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co. | Morning Sun,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co. | Morning Sun,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co. | Morning Sun,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Tony's Coffee | Espresso Noir,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Tony's Coffee | Espresso Noir,'Tony's Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
